,Default,Add/ Sub,Addition
18-04-2024,58,66,73
,61,72,71
,66,75,66
,58,79,71
,56,74,75
19-04-2024,56,77,78
,71,75,75
,63,75,74
,58,72,76
,64,78,70
,71,73,80
,68,71,77
,66,77,75
,69,79,77
,67,82,72
,74,76,79
,68,75,86
,73,78,77
,72,77,77
,72,78,83
,72,78,83
,70,77,85
23-04-2024,67,83,79
,66,85,75
,71,78,80
,67,79,87
,66,80,75
,77,76,79
,66,83,76
,73,80,84
,79,80,85
,71,85,90
24-04-2024,64,81,84
,68,87,91
,73,91,89
,69,82,86
,79,85,83
,70,85,83
25-04-2024,73,85,80
26-04-2024,66,80,81
,73,81,85
,74,85,86
27-04-2024,72,85,90
29-04-2024,69,89,91
12-05-2024,73,81,86
19-05-2024,71,78,84
